dataset,SAFE_embedding_dim,SAX_alphabet_size,SAFE_word_length,batch_size,learning_rate
BeetleFly,4,7,6,4,0.0001
BirdChicken,4,9,6,4,0.001
Coffee,4,15,4,4,0.001
Computers,4,16,6,16,0.0005
DiatomSizeReduction,32,20,8,8,0.1
DistalPhalanxOutlineAgeGroup,32,13,2,16,0.05
DistalPhalanxTW,4,11,2,16,0.1
Earthquakes,6,11,6,16,0.1
ECG5000,32,13,6,32,0.05
GunPoint,4,17,4,8,0.05
MiddlePhalanxOutlineAgeGroup,4,13,2,16,0.1
MiddlePhalanxOutlineCorrect,32,15,4,16,0.05
OliveOil,6,15,8,4,0.05
Plane,32,15,4,8,0.05
Strawberry,32,15,8,16,0.05
ToeSegmentation2,4,15,4,8,0.1
Worms,8,11,8,8,0.1
WormsTwoClass,4,11,6,8,0.05
Beef,4,15,6,4,0.05
ECG200,4,13,6,8,0.05
Lightning2,4,15,6,8,0.1
ArrowHead,4,13,4,8,0.001
SonyAIBORobotSurface1,4,7,4,8,0.1
SonyAIBORobotSurface2,4,7,4,8,0.1
Adiac,4,20,8,16,0.1
ECGFiveDays,4,13,6,8,0.05
ItalyPowerDemand,4,11,4,16,0.05
TwoLeadECG,4,13,6,8,0.05
MoteStrain,4,15,6,16,0.1
SwedishLeaf,4,15,8,16,0.05
ElectricDevices,4,17,6,32,0.05
